fixture_id,match,period_id,period_type_id,period_label,started_utc,ended_utc,counts_from,minutes,time_added_minutes
11867556,AFC Bournemouth vs Tottenham Hotspur,3370928,1,1st_half,2020-07-09 17:00:00+00:00,2020-07-09 17:45:00+00:00,0,45,0.0
11867556,AFC Bournemouth vs Tottenham Hotspur,3370929,2,2nd_half,2020-07-09 18:00:00+00:00,2020-07-09 18:45:00+00:00,45,90,
11867561,Everton vs Southampton,3370938,1,1st_half,2020-07-09 17:00:00+00:00,2020-07-09 17:45:00+00:00,0,45,0.0
11867561,Everton vs Southampton,3370939,2,2nd_half,2020-07-09 18:00:00+00:00,2020-07-09 18:45:00+00:00,45,90,
11867558,Aston Villa vs Manchester United,3370932,1,1st_half,2020-07-09 19:15:00+00:00,2020-07-09 20:00:00+00:00,0,45,0.0
11867558,Aston Villa vs Manchester United,3370933,2,2nd_half,2020-07-09 20:15:00+00:00,2020-07-09 21:00:00+00:00,45,90,
11867571,Norwich City vs West Ham United,3370958,1,1st_half,2020-07-11 11:30:00+00:00,2020-07-11 12:15:00+00:00,0,45,0.0
11867571,Norwich City vs West Ham United,3370959,2,2nd_half,2020-07-11 12:30:00+00:00,2020-07-11 13:15:00+00:00,45,90,
11867574,Watford vs Newcastle United,3370964,1,1st_half,2020-07-11 11:30:00+00:00,2020-07-11 12:15:00+00:00,0,45,0.0
11867574,Watford vs Newcastle United,3370965,2,2nd_half,2020-07-11 12:30:00+00:00,2020-07-11 13:15:00+00:00,45,90,
11867569,Liverpool vs Burnley,3370954,1,1st_half,2020-07-11 14:00:00+00:00,2020-07-11 14:45:00+00:00,0,45,0.0
11867569,Liverpool vs Burnley,3370955,2,2nd_half,2020-07-11 15:00:00+00:00,2020-07-11 15:45:00+00:00,45,90,
11867572,Sheffield United vs Chelsea,3370960,1,1st_half,2020-07-11 16:30:00+00:00,2020-07-11 17:15:00+00:00,0,45,0.0
11867572,Sheffield United vs Chelsea,3370961,2,2nd_half,2020-07-11 17:30:00+00:00,2020-07-11 18:15:00+00:00,45,90,
11867568,Brighton & Hove Albion vs Manchester City,3370952,1,1st_half,2020-07-11 19:00:00+00:00,2020-07-11 19:45:00+00:00,0,45,0.0
11867568,Brighton & Hove Albion vs Manchester City,3370953,2,2nd_half,2020-07-11 20:00:00+00:00,2020-07-11 20:45:00+00:00,45,90,
11867575,Wolverhampton Wanderers vs Everton,3370966,1,1st_half,2020-07-12 11:00:00+00:00,2020-07-12 11:45:00+00:00,0,45,0.0
11867575,Wolverhampton Wanderers vs Everton,3370967,2,2nd_half,2020-07-12 12:00:00+00:00,2020-07-12 12:45:00+00:00,45,90,
11867567,Aston Villa vs Crystal Palace,3370950,1,1st_half,2020-07-12 13:15:00+00:00,2020-07-12 14:00:00+00:00,0,45,0.0
11867567,Aston Villa vs Crystal Palace,3370951,2,2nd_half,2020-07-12 14:15:00+00:00,2020-07-12 15:00:00+00:00,45,90,
11867573,Tottenham Hotspur vs Arsenal,3370962,1,1st_half,2020-07-12 15:30:00+00:00,2020-07-12 16:15:00+00:00,0,45,0.0
11867573,Tottenham Hotspur vs Arsenal,3370963,2,2nd_half,2020-07-12 16:30:00+00:00,2020-07-12 17:15:00+00:00,45,90,
11867566,AFC Bournemouth vs Leicester City,3370948,1,1st_half,2020-07-12 18:00:00+00:00,2020-07-12 18:45:00+00:00,0,45,0.0
11867566,AFC Bournemouth vs Leicester City,3370949,2,2nd_half,2020-07-12 19:00:00+00:00,2020-07-12 19:45:00+00:00,45,90,
11867570,Manchester United vs Southampton,3370956,1,1st_half,2020-07-13 19:00:00+00:00,2020-07-13 19:45:00+00:00,0,45,0.0
11867570,Manchester United vs Southampton,3370957,2,2nd_half,2020-07-13 20:00:00+00:00,2020-07-13 20:45:00+00:00,45,90,
11867578,Chelsea vs Norwich City,3370972,1,1st_half,2020-07-14 19:15:00+00:00,2020-07-14 20:00:00+00:00,0,45,0.0
11867578,Chelsea vs Norwich City,3370973,2,2nd_half,2020-07-14 20:15:00+00:00,2020-07-14 21:00:00+00:00,45,90,
11867577,Burnley vs Wolverhampton Wanderers,3370970,1,1st_half,2020-07-15 17:00:00+00:00,2020-07-15 17:45:00+00:00,0,45,0.0
11867577,Burnley vs Wolverhampton Wanderers,3370971,2,2nd_half,2020-07-15 18:00:00+00:00,2020-07-15 18:45:00+00:00,45,90,
11867582,Manchester City vs AFC Bournemouth,3370980,1,1st_half,2020-07-15 17:00:00+00:00,2020-07-15 17:45:00+00:00,0,45,0.0
11867582,Manchester City vs AFC Bournemouth,447794,2,2nd_half,2020-07-15 18:00:00+00:00,2020-07-15 18:45:00+00:00,45,90,
11867583,Newcastle United vs Tottenham Hotspur,3370982,1,1st_half,2020-07-15 17:00:00+00:00,2020-07-15 17:45:00+00:00,0,45,0.0
11867583,Newcastle United vs Tottenham Hotspur,3370983,2,2nd_half,2020-07-15 18:00:00+00:00,2020-07-15 18:45:00+00:00,45,90,
11867576,Arsenal vs Liverpool,3370968,1,1st_half,2020-07-15 19:15:00+00:00,2020-07-15 20:00:00+00:00,0,45,0.0
11867576,Arsenal vs Liverpool,3370969,2,2nd_half,2020-07-15 20:15:00+00:00,2020-07-15 21:00:00+00:00,45,90,
11867580,Everton vs Aston Villa,3370976,1,1st_half,2020-07-16 17:00:00+00:00,2020-07-16 17:45:00+00:00,0,45,0.0
11867580,Everton vs Aston Villa,3370977,2,2nd_half,2020-07-16 18:00:00+00:00,2020-07-16 18:45:00+00:00,45,90,
11867581,Leicester City vs Sheffield United,3370978,1,1st_half,2020-07-16 17:00:00+00:00,2020-07-16 17:45:00+00:00,0,45,0.0
11867581,Leicester City vs Sheffield United,3370979,2,2nd_half,2020-07-16 18:00:00+00:00,2020-07-16 18:45:00+00:00,45,90,
11867579,Crystal Palace vs Manchester United,3370974,1,1st_half,2020-07-16 19:15:00+00:00,2020-07-16 20:00:00+00:00,0,45,0.0
11867579,Crystal Palace vs Manchester United,3370975,2,2nd_half,2020-07-16 20:15:00+00:00,2020-07-16 21:00:00+00:00,45,90,
11867584,Southampton vs Brighton & Hove Albion,3370984,1,1st_half,2020-07-16 19:15:00+00:00,2020-07-16 20:00:00+00:00,0,45,0.0
11867584,Southampton vs Brighton & Hove Albion,3370985,2,2nd_half,2020-07-16 20:15:00+00:00,2020-07-16 21:00:00+00:00,45,90,
11867585,West Ham United vs Watford,3370986,1,1st_half,2020-07-17 19:00:00+00:00,2020-07-17 19:45:00+00:00,0,45,0.0
11867585,West Ham United vs Watford,447796,2,2nd_half,2020-07-17 20:00:00+00:00,2020-07-17 20:45:00+00:00,45,90,
11867591,Norwich City vs Burnley,3370998,1,1st_half,2020-07-18 16:30:00+00:00,2020-07-18 17:15:00+00:00,0,45,0.0
11867591,Norwich City vs Burnley,447800,2,2nd_half,2020-07-18 17:30:00+00:00,2020-07-18 18:15:00+00:00,45,90,
11867586,AFC Bournemouth vs Southampton,3370988,1,1st_half,2020-07-19 13:00:00+00:00,2020-07-19 13:45:00+00:00,0,45,0.0
11867586,AFC Bournemouth vs Southampton,447795,2,2nd_half,2020-07-19 14:00:00+00:00,2020-07-19 14:45:00+00:00,45,90,
11867593,Tottenham Hotspur vs Leicester City,3371002,1,1st_half,2020-07-19 15:00:00+00:00,2020-07-19 15:45:00+00:00,0,45,0.0
11867593,Tottenham Hotspur vs Leicester City,3371003,2,2nd_half,2020-07-19 16:00:00+00:00,2020-07-19 16:45:00+00:00,45,90,
11867588,Brighton & Hove Albion vs Newcastle United,3370992,1,1st_half,2020-07-20 17:00:00+00:00,2020-07-20 17:45:00+00:00,0,45,0.0
11867588,Brighton & Hove Albion vs Newcastle United,3370993,2,2nd_half,2020-07-20 18:00:00+00:00,2020-07-20 18:45:00+00:00,45,90,
11867592,Sheffield United vs Everton,3371000,1,1st_half,2020-07-20 17:00:00+00:00,2020-07-20 17:45:00+00:00,0,45,0.0
11867592,Sheffield United vs Everton,447797,2,2nd_half,2020-07-20 18:00:00+00:00,2020-07-20 18:45:00+00:00,45,90,
11867595,Wolverhampton Wanderers vs Crystal Palace,3371006,1,1st_half,2020-07-20 19:15:00+00:00,2020-07-20 20:00:00+00:00,0,45,0.0
11867595,Wolverhampton Wanderers vs Crystal Palace,3371007,2,2nd_half,2020-07-20 20:15:00+00:00,2020-07-20 21:00:00+00:00,45,90,
11867594,Watford vs Manchester City,3371004,1,1st_half,2020-07-21 17:00:00+00:00,2020-07-21 17:45:00+00:00,0,45,0.0
11867594,Watford vs Manchester City,3371005,2,2nd_half,2020-07-21 18:00:00+00:00,2020-07-21 18:45:00+00:00,45,90,
11867587,Aston Villa vs Arsenal,3370990,1,1st_half,2020-07-21 19:15:00+00:00,2020-07-21 20:00:00+00:00,0,45,0.0
11867587,Aston Villa vs Arsenal,447798,2,2nd_half,2020-07-21 20:15:00+00:00,2020-07-21 21:00:00+00:00,45,90,
11867590,Manchester United vs West Ham United,3370996,1,1st_half,2020-07-22 17:00:00+00:00,2020-07-22 17:45:00+00:00,0,45,0.0
11867590,Manchester United vs West Ham United,447799,2,2nd_half,2020-07-22 18:00:00+00:00,2020-07-22 18:45:00+00:00,45,90,
11867589,Liverpool vs Chelsea,3370994,1,1st_half,2020-07-22 19:15:00+00:00,2020-07-22 20:00:00+00:00,0,45,0.0
11867589,Liverpool vs Chelsea,3370995,2,2nd_half,2020-07-22 20:15:00+00:00,2020-07-22 21:00:00+00:00,45,90,
11867596,Arsenal vs Watford,3371008,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867596,Arsenal vs Watford,3371009,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867597,Burnley vs Brighton & Hove Albion,3371010,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867597,Burnley vs Brighton & Hove Albion,3371011,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867598,Chelsea vs Wolverhampton Wanderers,3371012,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867598,Chelsea vs Wolverhampton Wanderers,3371013,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867599,Crystal Palace vs Tottenham Hotspur,3371014,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867599,Crystal Palace vs Tottenham Hotspur,3371015,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867600,Everton vs AFC Bournemouth,3371016,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867600,Everton vs AFC Bournemouth,3371017,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867601,Leicester City vs Manchester United,3371018,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867601,Leicester City vs Manchester United,447801,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867602,Manchester City vs Norwich City,3371020,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867602,Manchester City vs Norwich City,3371021,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867603,Newcastle United vs Liverpool,3371022,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867603,Newcastle United vs Liverpool,3371023,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867604,Southampton vs Sheffield United,3371024,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867604,Southampton vs Sheffield United,3371025,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
11867605,West Ham United vs Aston Villa,3371026,1,1st_half,2020-07-26 15:00:00+00:00,2020-07-26 15:45:00+00:00,0,45,0.0
11867605,West Ham United vs Aston Villa,3371027,2,2nd_half,2020-07-26 16:00:00+00:00,2020-07-26 16:45:00+00:00,45,90,
16924598,Fulham vs Arsenal,3739234,1,1st_half,2020-09-12 11:30:00+00:00,2020-09-12 12:15:00+00:00,0,45,0.0
16924598,Fulham vs Arsenal,524551,2,2nd_half,2020-09-12 12:30:00+00:00,2020-09-12 13:15:00+00:00,45,90,
16924597,Crystal Palace vs Southampton,3739232,1,1st_half,2020-09-12 14:00:00+00:00,2020-09-12 14:45:00+00:00,0,45,0.0
16924597,Crystal Palace vs Southampton,524552,2,2nd_half,2020-09-12 15:00:00+00:00,2020-09-12 15:45:00+00:00,45,90,
16924599,Liverpool vs Leeds United,3739236,1,1st_half,2020-09-12 16:30:00+00:00,2020-09-12 17:15:00+00:00,0,45,0.0
16924599,Liverpool vs Leeds United,524553,2,2nd_half,2020-09-12 17:30:00+00:00,2020-09-12 18:15:00+00:00,45,90,
16924602,West Ham United vs Newcastle United,3739242,1,1st_half,2020-09-12 19:00:00+00:00,2020-09-12 19:45:00+00:00,0,45,0.0
16924602,West Ham United vs Newcastle United,458663,2,2nd_half,2020-09-12 20:00:00+00:00,2020-09-12 20:45:00+00:00,45,90,
16924601,West Bromwich Albion vs Leicester City,3739240,1,1st_half,2020-09-13 13:00:00+00:00,2020-09-13 13:45:00+00:00,0,45,0.0
16924601,West Bromwich Albion vs Leicester City,524573,2,2nd_half,2020-09-13 14:00:00+00:00,2020-09-13 14:45:00+00:00,45,90,
16924600,Tottenham Hotspur vs Everton,3739238,1,1st_half,2020-09-13 15:30:00+00:00,2020-09-13 16:15:00+00:00,0,45,0.0
16924600,Tottenham Hotspur vs Everton,524561,2,2nd_half,2020-09-13 16:30:00+00:00,2020-09-13 17:15:00+00:00,45,90,
16924604,Sheffield United vs Wolverhampton Wanderers,3739246,1,1st_half,2020-09-14 17:00:00+00:00,2020-09-14 17:45:00+00:00,0,45,0.0
16924604,Sheffield United vs Wolverhampton Wanderers,524555,2,2nd_half,2020-09-14 18:00:00+00:00,2020-09-14 18:45:00+00:00,45,90,
16924603,Brighton & Hove Albion vs Chelsea,3739244,1,1st_half,2020-09-14 19:15:00+00:00,2020-09-14 20:00:00+00:00,0,45,0.0
16924603,Brighton & Hove Albion vs Chelsea,524557,2,2nd_half,2020-09-14 20:15:00+00:00,2020-09-14 21:00:00+00:00,45,90,
16924608,Everton vs West Bromwich Albion,3739254,1,1st_half,2020-09-19 11:30:00+00:00,2020-09-19 12:15:00+00:00,0,45,0.0
16924608,Everton vs West Bromwich Albion,524564,2,2nd_half,2020-09-19 12:30:00+00:00,2020-09-19 13:15:00+00:00,45,90,
16924609,Leeds United vs Fulham,3739256,1,1st_half,2020-09-19 14:00:00+00:00,2020-09-19 14:45:00+00:00,0,45,0.0
16924609,Leeds United vs Fulham,524556,2,2nd_half,2020-09-19 15:00:00+00:00,2020-09-19 15:45:00+00:00,45,90,
16924611,Manchester United vs Crystal Palace,3739260,1,1st_half,2020-09-19 16:30:00+00:00,2020-09-19 17:15:00+00:00,0,45,0.0
16924611,Manchester United vs Crystal Palace,524560,2,2nd_half,2020-09-19 17:30:00+00:00,2020-09-19 18:15:00+00:00,45,90,
16924605,Arsenal vs West Ham United,3739248,1,1st_half,2020-09-19 19:00:00+00:00,2020-09-19 19:45:00+00:00,0,45,0.0
16924605,Arsenal vs West Ham United,524554,2,2nd_half,2020-09-19 20:00:00+00:00,2020-09-19 20:45:00+00:00,45,90,
16924613,Southampton vs Tottenham Hotspur,3739264,1,1st_half,2020-09-20 11:00:00+00:00,2020-09-20 11:45:00+00:00,0,45,0.0
16924613,Southampton vs Tottenham Hotspur,524569,2,2nd_half,2020-09-20 12:00:00+00:00,2020-09-20 12:45:00+00:00,45,90,
16924612,Newcastle United vs Brighton & Hove Albion,3739262,1,1st_half,2020-09-20 13:00:00+00:00,2020-09-20 13:45:00+00:00,0,45,0.0
16924612,Newcastle United vs Brighton & Hove Albion,524566,2,2nd_half,2020-09-20 14:00:00+00:00,2020-09-20 14:45:00+00:00,45,90,
16924607,Chelsea vs Liverpool,3739252,1,1st_half,2020-09-20 15:30:00+00:00,2020-09-20 16:15:00+00:00,0,45,0.0
16924607,Chelsea vs Liverpool,524558,2,2nd_half,2020-09-20 16:30:00+00:00,2020-09-20 17:15:00+00:00,45,90,
16924610,Leicester City vs Burnley,3739258,1,1st_half,2020-09-20 18:00:00+00:00,2020-09-20 18:45:00+00:00,0,45,0.0
16924610,Leicester City vs Burnley,524567,2,2nd_half,2020-09-20 19:00:00+00:00,2020-09-20 19:45:00+00:00,45,90,
16924606,Aston Villa vs Sheffield United,3739250,1,1st_half,2020-09-21 17:00:00+00:00,2020-09-21 17:45:00+00:00,0,45,0.0
16924606,Aston Villa vs Sheffield United,524563,2,2nd_half,2020-09-21 18:00:00+00:00,2020-09-21 18:45:00+00:00,45,90,
16924614,Wolverhampton Wanderers vs Manchester City,3739266,1,1st_half,2020-09-21 19:15:00+00:00,2020-09-21 20:00:00+00:00,0,45,0.0
16924614,Wolverhampton Wanderers vs Manchester City,524562,2,2nd_half,2020-09-21 20:15:00+00:00,2020-09-21 21:00:00+00:00,45,90,
16924615,Brighton & Hove Albion vs Manchester United,3739268,1,1st_half,2020-09-26 11:30:00+00:00,2020-09-26 12:15:00+00:00,0,45,0.0
16924615,Brighton & Hove Albion vs Manchester United,524577,2,2nd_half,2020-09-26 12:30:00+00:00,2020-09-26 13:15:00+00:00,45,90,
16924617,Crystal Palace vs Everton,3739272,1,1st_half,2020-09-26 14:00:00+00:00,2020-09-26 14:45:00+00:00,0,45,0.0
16924617,Crystal Palace vs Everton,524568,2,2nd_half,2020-09-26 15:00:00+00:00,2020-09-26 15:45:00+00:00,45,90,
16924623,West Bromwich Albion vs Chelsea,3739284,1,1st_half,2020-09-26 16:30:00+00:00,2020-09-26 17:15:00+00:00,0,45,0.0
16924623,West Bromwich Albion vs Chelsea,524576,2,2nd_half,2020-09-26 17:30:00+00:00,2020-09-26 18:15:00+00:00,45,90,
16924616,Burnley vs Southampton,3739270,1,1st_half,2020-09-26 19:00:00+00:00,2020-09-26 19:45:00+00:00,0,45,0.0
16924616,Burnley vs Southampton,524565,2,2nd_half,2020-09-26 20:00:00+00:00,2020-09-26 20:45:00+00:00,45,90,
16924621,Sheffield United vs Leeds United,3739280,1,1st_half,2020-09-27 11:00:00+00:00,2020-09-27 11:45:00+00:00,0,45,0.0
16924621,Sheffield United vs Leeds United,524574,2,2nd_half,2020-09-27 12:00:00+00:00,2020-09-27 12:45:00+00:00,45,90,
16924622,Tottenham Hotspur vs Newcastle United,3739282,1,1st_half,2020-09-27 13:00:00+00:00,2020-09-27 13:45:00+00:00,0,45,0.0
16924622,Tottenham Hotspur vs Newcastle United,524572,2,2nd_half,2020-09-27 14:00:00+00:00,2020-09-27 14:45:00+00:00,45,90,
16924620,Manchester City vs Leicester City,3739278,1,1st_half,2020-09-27 15:30:00+00:00,2020-09-27 16:15:00+00:00,0,45,0.0
16924620,Manchester City vs Leicester City,524571,2,2nd_half,2020-09-27 16:30:00+00:00,2020-09-27 17:15:00+00:00,45,90,
16924624,West Ham United vs Wolverhampton Wanderers,3739286,1,1st_half,2020-09-27 18:00:00+00:00,2020-09-27 18:45:00+00:00,0,45,0.0
16924624,West Ham United vs Wolverhampton Wanderers,458666,2,2nd_half,2020-09-27 19:00:00+00:00,2020-09-27 19:45:00+00:00,45,90,
16924618,Fulham vs Aston Villa,3739274,1,1st_half,2020-09-28 16:45:00+00:00,2020-09-28 17:30:00+00:00,0,45,0.0
16924618,Fulham vs Aston Villa,458665,2,2nd_half,2020-09-28 17:45:00+00:00,2020-09-28 18:30:00+00:00,45,90,
16924619,Liverpool vs Arsenal,3739276,1,1st_half,2020-09-28 19:00:00+00:00,2020-09-28 19:45:00+00:00,0,45,0.0
16924619,Liverpool vs Arsenal,458664,2,2nd_half,2020-09-28 20:00:00+00:00,2020-09-28 20:45:00+00:00,45,90,
16924627,Chelsea vs Crystal Palace,3739292,1,1st_half,2020-10-03 11:30:00+00:00,2020-10-03 12:15:00+00:00,0,45,0.0
16924627,Chelsea vs Crystal Palace,458668,2,2nd_half,2020-10-03 12:30:00+00:00,2020-10-03 13:15:00+00:00,45,90,
16924628,Everton vs Brighton & Hove Albion,3739294,1,1st_half,2020-10-03 14:00:00+00:00,2020-10-03 14:45:00+00:00,0,45,0.0
16924628,Everton vs Brighton & Hove Albion,458667,2,2nd_half,2020-10-03 15:00:00+00:00,2020-10-03 15:45:00+00:00,45,90,
16924629,Leeds United vs Manchester City,3739296,1,1st_half,2020-10-03 16:30:00+00:00,2020-10-03 17:15:00+00:00,0,45,0.0
16924629,Leeds United vs Manchester City,524578,2,2nd_half,2020-10-03 17:30:00+00:00,2020-10-03 18:15:00+00:00,45,90,
16924632,Newcastle United vs Burnley,3739302,1,1st_half,2020-10-03 19:00:00+00:00,2020-10-03 19:45:00+00:00,0,45,0.0
16924632,Newcastle United vs Burnley,524581,2,2nd_half,2020-10-03 20:00:00+00:00,2020-10-03 20:45:00+00:00,45,90,
16924630,Leicester City vs West Ham United,3739298,1,1st_half,2020-10-04 11:00:00+00:00,2020-10-04 11:45:00+00:00,0,45,0.0
16924630,Leicester City vs West Ham United,458669,2,2nd_half,2020-10-04 12:00:00+00:00,2020-10-04 12:45:00+00:00,45,90,
16924633,Southampton vs West Bromwich Albion,3739304,1,1st_half,2020-10-04 11:00:00+00:00,2020-10-04 11:45:00+00:00,0,45,0.0
16924633,Southampton vs West Bromwich Albion,524580,2,2nd_half,2020-10-04 12:00:00+00:00,2020-10-04 12:45:00+00:00,45,90,
16924625,Arsenal vs Sheffield United,3739288,1,1st_half,2020-10-04 13:00:00+00:00,2020-10-04 13:45:00+00:00,0,45,0.0
16924625,Arsenal vs Sheffield United,524570,2,2nd_half,2020-10-04 14:00:00+00:00,2020-10-04 14:45:00+00:00,45,90,
16924634,Wolverhampton Wanderers vs Fulham,3739306,1,1st_half,2020-10-04 13:00:00+00:00,2020-10-04 13:45:00+00:00,0,45,0.0
16924634,Wolverhampton Wanderers vs Fulham,458670,2,2nd_half,2020-10-04 14:00:00+00:00,2020-10-04 14:45:00+00:00,45,90,
16924631,Manchester United vs Tottenham Hotspur,3739300,1,1st_half,2020-10-04 15:30:00+00:00,2020-10-04 16:15:00+00:00,0,45,0.0
16924631,Manchester United vs Tottenham Hotspur,524579,2,2nd_half,2020-10-04 16:30:00+00:00,2020-10-04 17:15:00+00:00,45,90,
16924626,Aston Villa vs Liverpool,3739290,1,1st_half,2020-10-04 18:15:00+00:00,2020-10-04 19:00:00+00:00,0,45,0.0
16924626,Aston Villa vs Liverpool,524575,2,2nd_half,2020-10-04 19:15:00+00:00,2020-10-04 20:00:00+00:00,45,90,
