fixture_id,match,half_time_whistle_utc,full_time_whistle_utc,first_half_added_minutes,second_half_added_minutes
11867556,AFC Bournemouth vs Tottenham Hotspur,2020-07-09 17:45:00+00:00,2020-07-09 18:45:00+00:00,0.0,
11867561,Everton vs Southampton,2020-07-09 17:45:00+00:00,2020-07-09 18:45:00+00:00,0.0,
11867558,Aston Villa vs Manchester United,2020-07-09 20:00:00+00:00,2020-07-09 21:00:00+00:00,0.0,
11867571,Norwich City vs West Ham United,2020-07-11 12:15:00+00:00,2020-07-11 13:15:00+00:00,0.0,
11867574,Watford vs Newcastle United,2020-07-11 12:15:00+00:00,2020-07-11 13:15:00+00:00,0.0,
11867569,Liverpool vs Burnley,2020-07-11 14:45:00+00:00,2020-07-11 15:45:00+00:00,0.0,
11867572,Sheffield United vs Chelsea,2020-07-11 17:15:00+00:00,2020-07-11 18:15:00+00:00,0.0,
11867568,Brighton & Hove Albion vs Manchester City,2020-07-11 19:45:00+00:00,2020-07-11 20:45:00+00:00,0.0,
11867575,Wolverhampton Wanderers vs Everton,2020-07-12 11:45:00+00:00,2020-07-12 12:45:00+00:00,0.0,
11867567,Aston Villa vs Crystal Palace,2020-07-12 14:00:00+00:00,2020-07-12 15:00:00+00:00,0.0,
11867573,Tottenham Hotspur vs Arsenal,2020-07-12 16:15:00+00:00,2020-07-12 17:15:00+00:00,0.0,
11867566,AFC Bournemouth vs Leicester City,2020-07-12 18:45:00+00:00,2020-07-12 19:45:00+00:00,0.0,
11867570,Manchester United vs Southampton,2020-07-13 19:45:00+00:00,2020-07-13 20:45:00+00:00,0.0,
11867578,Chelsea vs Norwich City,2020-07-14 20:00:00+00:00,2020-07-14 21:00:00+00:00,0.0,
11867577,Burnley vs Wolverhampton Wanderers,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867582,Manchester City vs AFC Bournemouth,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867583,Newcastle United vs Tottenham Hotspur,2020-07-15 17:45:00+00:00,2020-07-15 18:45:00+00:00,0.0,
11867576,Arsenal vs Liverpool,2020-07-15 20:00:00+00:00,2020-07-15 21:00:00+00:00,0.0,
11867580,Everton vs Aston Villa,2020-07-16 17:45:00+00:00,2020-07-16 18:45:00+00:00,0.0,
11867581,Leicester City vs Sheffield United,2020-07-16 17:45:00+00:00,2020-07-16 18:45:00+00:00,0.0,
11867579,Crystal Palace vs Manchester United,2020-07-16 20:00:00+00:00,2020-07-16 21:00:00+00:00,0.0,
11867584,Southampton vs Brighton & Hove Albion,2020-07-16 20:00:00+00:00,2020-07-16 21:00:00+00:00,0.0,
11867585,West Ham United vs Watford,2020-07-17 19:45:00+00:00,2020-07-17 20:45:00+00:00,0.0,
11867591,Norwich City vs Burnley,2020-07-18 17:15:00+00:00,2020-07-18 18:15:00+00:00,0.0,
11867586,AFC Bournemouth vs Southampton,2020-07-19 13:45:00+00:00,2020-07-19 14:45:00+00:00,0.0,
11867593,Tottenham Hotspur vs Leicester City,2020-07-19 15:45:00+00:00,2020-07-19 16:45:00+00:00,0.0,
11867588,Brighton & Hove Albion vs Newcastle United,2020-07-20 17:45:00+00:00,2020-07-20 18:45:00+00:00,0.0,
11867592,Sheffield United vs Everton,2020-07-20 17:45:00+00:00,2020-07-20 18:45:00+00:00,0.0,
11867595,Wolverhampton Wanderers vs Crystal Palace,2020-07-20 20:00:00+00:00,2020-07-20 21:00:00+00:00,0.0,
11867594,Watford vs Manchester City,2020-07-21 17:45:00+00:00,2020-07-21 18:45:00+00:00,0.0,
11867587,Aston Villa vs Arsenal,2020-07-21 20:00:00+00:00,2020-07-21 21:00:00+00:00,0.0,
11867590,Manchester United vs West Ham United,2020-07-22 17:45:00+00:00,2020-07-22 18:45:00+00:00,0.0,
11867589,Liverpool vs Chelsea,2020-07-22 20:00:00+00:00,2020-07-22 21:00:00+00:00,0.0,
11867596,Arsenal vs Watford,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867597,Burnley vs Brighton & Hove Albion,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867598,Chelsea vs Wolverhampton Wanderers,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867599,Crystal Palace vs Tottenham Hotspur,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867600,Everton vs AFC Bournemouth,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867601,Leicester City vs Manchester United,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867602,Manchester City vs Norwich City,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867603,Newcastle United vs Liverpool,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867604,Southampton vs Sheffield United,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
11867605,West Ham United vs Aston Villa,2020-07-26 15:45:00+00:00,2020-07-26 16:45:00+00:00,0.0,
16924598,Fulham vs Arsenal,2020-09-12 12:15:00+00:00,2020-09-12 13:15:00+00:00,0.0,
16924597,Crystal Palace vs Southampton,2020-09-12 14:45:00+00:00,2020-09-12 15:45:00+00:00,0.0,
16924599,Liverpool vs Leeds United,2020-09-12 17:15:00+00:00,2020-09-12 18:15:00+00:00,0.0,
16924602,West Ham United vs Newcastle United,2020-09-12 19:45:00+00:00,2020-09-12 20:45:00+00:00,0.0,
16924601,West Bromwich Albion vs Leicester City,2020-09-13 13:45:00+00:00,2020-09-13 14:45:00+00:00,0.0,
16924600,Tottenham Hotspur vs Everton,2020-09-13 16:15:00+00:00,2020-09-13 17:15:00+00:00,0.0,
16924604,Sheffield United vs Wolverhampton Wanderers,2020-09-14 17:45:00+00:00,2020-09-14 18:45:00+00:00,0.0,
16924603,Brighton & Hove Albion vs Chelsea,2020-09-14 20:00:00+00:00,2020-09-14 21:00:00+00:00,0.0,
16924608,Everton vs West Bromwich Albion,2020-09-19 12:15:00+00:00,2020-09-19 13:15:00+00:00,0.0,
16924609,Leeds United vs Fulham,2020-09-19 14:45:00+00:00,2020-09-19 15:45:00+00:00,0.0,
16924611,Manchester United vs Crystal Palace,2020-09-19 17:15:00+00:00,2020-09-19 18:15:00+00:00,0.0,
16924605,Arsenal vs West Ham United,2020-09-19 19:45:00+00:00,2020-09-19 20:45:00+00:00,0.0,
16924613,Southampton vs Tottenham Hotspur,2020-09-20 11:45:00+00:00,2020-09-20 12:45:00+00:00,0.0,
16924612,Newcastle United vs Brighton & Hove Albion,2020-09-20 13:45:00+00:00,2020-09-20 14:45:00+00:00,0.0,
16924607,Chelsea vs Liverpool,2020-09-20 16:15:00+00:00,2020-09-20 17:15:00+00:00,0.0,
16924610,Leicester City vs Burnley,2020-09-20 18:45:00+00:00,2020-09-20 19:45:00+00:00,0.0,
16924606,Aston Villa vs Sheffield United,2020-09-21 17:45:00+00:00,2020-09-21 18:45:00+00:00,0.0,
16924614,Wolverhampton Wanderers vs Manchester City,2020-09-21 20:00:00+00:00,2020-09-21 21:00:00+00:00,0.0,
16924615,Brighton & Hove Albion vs Manchester United,2020-09-26 12:15:00+00:00,2020-09-26 13:15:00+00:00,0.0,
16924617,Crystal Palace vs Everton,2020-09-26 14:45:00+00:00,2020-09-26 15:45:00+00:00,0.0,
16924623,West Bromwich Albion vs Chelsea,2020-09-26 17:15:00+00:00,2020-09-26 18:15:00+00:00,0.0,
16924616,Burnley vs Southampton,2020-09-26 19:45:00+00:00,2020-09-26 20:45:00+00:00,0.0,
16924621,Sheffield United vs Leeds United,2020-09-27 11:45:00+00:00,2020-09-27 12:45:00+00:00,0.0,
16924622,Tottenham Hotspur vs Newcastle United,2020-09-27 13:45:00+00:00,2020-09-27 14:45:00+00:00,0.0,
16924620,Manchester City vs Leicester City,2020-09-27 16:15:00+00:00,2020-09-27 17:15:00+00:00,0.0,
16924624,West Ham United vs Wolverhampton Wanderers,2020-09-27 18:45:00+00:00,2020-09-27 19:45:00+00:00,0.0,
16924618,Fulham vs Aston Villa,2020-09-28 17:30:00+00:00,2020-09-28 18:30:00+00:00,0.0,
16924619,Liverpool vs Arsenal,2020-09-28 19:45:00+00:00,2020-09-28 20:45:00+00:00,0.0,
16924627,Chelsea vs Crystal Palace,2020-10-03 12:15:00+00:00,2020-10-03 13:15:00+00:00,0.0,
16924628,Everton vs Brighton & Hove Albion,2020-10-03 14:45:00+00:00,2020-10-03 15:45:00+00:00,0.0,
16924629,Leeds United vs Manchester City,2020-10-03 17:15:00+00:00,2020-10-03 18:15:00+00:00,0.0,
16924632,Newcastle United vs Burnley,2020-10-03 19:45:00+00:00,2020-10-03 20:45:00+00:00,0.0,
16924630,Leicester City vs West Ham United,2020-10-04 11:45:00+00:00,2020-10-04 12:45:00+00:00,0.0,
16924633,Southampton vs West Bromwich Albion,2020-10-04 11:45:00+00:00,2020-10-04 12:45:00+00:00,0.0,
16924625,Arsenal vs Sheffield United,2020-10-04 13:45:00+00:00,2020-10-04 14:45:00+00:00,0.0,
16924634,Wolverhampton Wanderers vs Fulham,2020-10-04 13:45:00+00:00,2020-10-04 14:45:00+00:00,0.0,
16924631,Manchester United vs Tottenham Hotspur,2020-10-04 16:15:00+00:00,2020-10-04 17:15:00+00:00,0.0,
16924626,Aston Villa vs Liverpool,2020-10-04 19:00:00+00:00,2020-10-04 20:00:00+00:00,0.0,
